loan_id,region,loan_type,credit_score,loan_balance,debt_ratio,num_delinquencies,years_since_orig,default_prob,default_flag
L000046,東京,カードローン,402,2739851,0.179,3,2.0,0.999101,1
L000047,東京,住宅ローン,398,21025866,0.949,1,0.5,0.641382,1
L000048,東京,住宅ローン,645,48820797,0.545,2,0.5,0.106665,1
L000049,名古屋,事業資金,621,24951024,0.706,4,2.0,0.51112,0
L000050,東京,カードローン,649,9827471,0.307,1,2.0,0.389518,0
L000051,福岡,住宅ローン,583,38174782,0.307,0,1.0,0.397021,0
L000052,福岡,マイカーローン,797,3220488,0.193,1,1.5,0.062034,0
L000053,札幌,事業資金,609,44384226,0.577,0,0.5,0.195489,0
L000054,福岡,カードローン,306,14899942,0.14,4,2.0,0.9999,1
L000055,東京,住宅ローン,736,24608740,0.933,1,3.0,0.251842,0
L000056,名古屋,マイカーローン,522,42447545,0.782,2,2.0,0.842797,1
L000057,名古屋,カードローン,406,48798986,0.466,4,5.0,0.999112,1
L000058,東京,事業資金,614,22133828,0.192,2,3.0,0.655012,1
L000059,名古屋,カードローン,398,30481356,0.628,1,1.5,0.951056,1
L000060,大阪,カードローン,595,45249210,0.153,2,5.0,0.911903,0
L000061,名古屋,住宅ローン,489,36758644,0.433,1,2.0,0.896031,0
L000062,名古屋,マイカーローン,486,2205595,0.707,0,5.0,0.989653,1
L000063,大阪,住宅ローン,532,38272482,0.849,0,3.0,0.90746,0
L000064,東京,事業資金,805,1708036,0.225,0,2.0,0.062792,0
L000065,福岡,事業資金,455,27308742,0.591,4,2.0,0.957668,0
L000066,東京,住宅ローン,720,33745163,0.339,1,0.5,0.077626,0
L000067,大阪,住宅ローン,631,8224387,0.818,3,2.0,0.449679,0
L000068,東京,事業資金,381,22083230,0.817,2,3.0,0.9999,1
L000069,大阪,カードローン,567,31616223,0.384,0,7.0,0.962594,1
L000070,大阪,カードローン,639,42648033,0.907,4,2.0,0.447868,0
L000071,名古屋,住宅ローン,313,37009954,0.319,0,2.0,0.995181,1
L000072,福岡,事業資金,520,48551369,0.431,2,2.0,0.821339,1
L000073,東京,住宅ローン,553,34385287,0.118,2,2.0,0.731703,1
L000074,東京,カードローン,625,2277161,0.129,4,3.0,0.623946,0
L000075,名古屋,事業資金,345,35599649,0.215,1,1.0,0.932927,1
L000076,名古屋,カードローン,610,10912265,0.841,0,2.0,0.523088,0
L000077,大阪,住宅ローン,588,46262125,0.479,1,3.0,0.758015,1
L000078,名古屋,住宅ローン,715,21549302,0.618,0,3.0,0.284054,0
L000079,福岡,住宅ローン,791,6911874,0.233,0,2.0,0.104086,0
L000080,札幌,カードローン,796,13223133,0.368,0,2.0,0.090666,0
L000081,大阪,住宅ローン,338,15986290,0.236,4,0.5,0.751305,1
L000082,札幌,住宅ローン,634,8943017,0.94,1,5.0,0.770016,0
L000083,東京,カードローン,465,19038353,0.937,3,1.0,0.769614,1
L000084,東京,カードローン,580,43319915,0.855,4,2.0,0.638046,0
L000085,福岡,カードローン,791,42405780,0.748,2,2.0,0.077631,0
L000086,名古屋,事業資金,458,13971194,0.382,1,5.0,0.9999,1
L000087,大阪,マイカーローン,417,13242080,0.918,3,7.0,0.981526,1
L000088,札幌,カードローン,750,39706081,0.624,1,2.0,0.16193,0
L000089,東京,住宅ローン,476,44366970,0.213,0,5.0,0.9999,1
L000090,大阪,カードローン,837,11704319,0.289,1,2.0,0.058534,0
L000091,東京,マイカーローン,810,33582336,0.379,4,5.0,0.189016,0
L000092,札幌,カードローン,478,49797398,0.702,1,5.0,0.9999,1
L000093,東京,マイカーローン,602,48672326,0.071,3,3.0,0.719759,0
L000094,名古屋,住宅ローン,490,39139395,0.871,3,1.5,0.822881,1
L000095,東京,カードローン,831,10980662,0.344,4,1.0,0.019613,0
L000096,東京,事業資金,454,1670868,0.641,0,2.0,0.91332,1
L000097,大阪,マイカーローン,471,13333968,0.84,2,1.0,0.72231,1
L000098,大阪,カードローン,841,14504183,0.823,4,5.0,0.096246,0
L000099,東京,事業資金,405,30814432,0.235,3,1.0,0.856199,0
L000100,大阪,事業資金,364,8664410,0.538,2,0.5,0.721326,1
L000101,東京,住宅ローン,583,16130938,0.409,0,3.0,0.779555,0
L000102,大阪,マイカーローン,671,22992713,0.825,0,2.0,0.336424,0
L000103,大阪,事業資金,353,20798754,0.941,2,5.0,0.995433,1
L000104,東京,カードローン,616,27373896,0.744,3,1.0,0.308131,0
L000105,札幌,マイカーローン,806,14248641,0.331,0,2.0,0.074086,0
L000106,福岡,カードローン,686,22309810,0.292,1,3.0,0.411627,0
L000107,福岡,カードローン,496,17213840,0.596,1,7.0,0.9999,1
L000108,大阪,住宅ローン,695,27582220,0.625,3,1.5,0.174554,0
L000109,名古屋,カードローン,435,14231949,0.302,4,3.0,0.979053,1
L000110,名古屋,住宅ローン,740,15488924,0.801,3,1.0,0.080536,1
L000111,大阪,事業資金,719,39327682,0.863,1,3.0,0.274823,0
L000112,名古屋,マイカーローン,686,2726893,0.543,0,1.5,0.224831,1
L000113,名古屋,住宅ローン,317,5691334,0.378,4,1.5,0.981584,1
L000114,福岡,住宅ローン,401,45157776,0.554,4,1.5,0.923142,1
L000115,東京,カードローン,540,48439709,0.81,0,2.0,0.790594,0
L000116,名古屋,カードローン,740,44716891,0.24,2,2.0,0.158828,0
L000117,東京,住宅ローン,534,47154408,0.808,1,3.0,0.898563,1
L000118,東京,住宅ローン,639,24218080,0.052,0,2.0,0.434444,0
L000119,名古屋,事業資金,421,19425649,0.734,0,3.0,0.993404,1
L000120,大阪,カードローン,823,6027823,0.191,4,1.5,0.030018,0
L000121,東京,カードローン,587,43550346,0.267,4,7.0,0.963367,0
L000122,東京,カードローン,370,32889548,0.545,3,2.0,0.972425,1
L000123,札幌,カードローン,434,12428208,0.764,3,3.0,0.9999,1
L000124,東京,住宅ローン,488,30362562,0.201,3,3.0,0.967349,1
L000125,福岡,住宅ローン,742,9250667,0.099,4,1.0,0.087571,0
L000126,東京,カードローン,369,16514887,0.582,2,1.0,0.922002,1
L000127,大阪,マイカーローン,781,25791338,0.07,4,2.0,0.124479,0
L000128,東京,カードローン,692,37930552,0.315,1,2.0,0.263584,0
L000129,東京,カードローン,658,27527533,0.884,2,1.5,0.314793,0
L000130,福岡,事業資金,822,30401495,0.376,2,1.0,0.0001,0
L000131,大阪,住宅ローン,727,27505178,0.488,4,2.0,0.204706,0
L000132,名古屋,マイカーローン,313,2317111,0.647,1,3.0,0.9999,1
L000133,大阪,事業資金,540,42870792,0.314,2,1.5,0.685988,1
L000134,福岡,カードローン,555,25555593,0.658,4,1.5,0.637655,1
L000135,東京,住宅ローン,468,40519586,0.855,1,7.0,0.9999,0
L000136,東京,住宅ローン,715,11343597,0.424,0,3.0,0.287347,1
L000137,東京,カードローン,640,16899476,0.323,4,0.5,0.1231,0
L000138,東京,カードローン,428,1381122,0.593,3,7.0,0.998048,1
L000139,東京,カードローン,554,7080532,0.572,3,0.5,0.302582,0
L000140,名古屋,マイカーローン,423,36053456,0.565,0,1.5,0.942884,1
L000141,東京,事業資金,540,1614699,0.549,3,7.0,0.9999,1
L000142,東京,住宅ローン,403,27257123,0.938,4,1.0,0.871676,1
L000143,大阪,事業資金,631,33442516,0.453,1,5.0,0.791543,0
L000144,名古屋,住宅ローン,393,36239522,0.851,0,1.0,0.878603,1
L000145,大阪,カードローン,676,47355737,0.476,0,1.0,0.16335,0
L000146,大阪,マイカーローン,362,34921316,0.69,2,5.0,0.99117,1
L000147,東京,住宅ローン,447,25573303,0.421,3,5.0,0.9999,0
L000148,福岡,カードローン,719,18767121,0.716,3,2.0,0.227168,0
L000149,札幌,カードローン,557,1533958,0.537,0,0.5,0.277093,0
L000150,福岡,マイカーローン,457,4434741,0.159,0,2.0,0.963314,1
L000151,東京,住宅ローン,317,44797926,0.828,2,0.5,0.779037,1
L000152,福岡,カードローン,527,32731867,0.411,0,2.0,0.801058,1
L000153,福岡,カードローン,607,5804177,0.215,2,3.0,0.692729,1
L000154,札幌,カードローン,692,21925335,0.688,2,1.5,0.223537,0
L000155,福岡,マイカーローン,387,43113148,0.347,1,3.0,0.998185,1
L000156,東京,カードローン,610,30026454,0.692,2,7.0,0.92668,1
L000157,札幌,カードローン,479,38178960,0.264,1,2.0,0.918169,1
L000158,大阪,事業資金,720,2246136,0.479,3,1.5,0.154949,0
L000159,大阪,住宅ローン,361,44519838,0.775,3,7.0,0.996318,1
L000160,名古屋,カードローン,302,22920964,0.699,3,7.0,0.976967,1
L000161,札幌,住宅ローン,838,32158372,0.678,4,1.0,0.023332,0
L000162,東京,事業資金,459,12256743,0.108,1,5.0,0.992967,1
L000163,福岡,カードローン,486,23071969,0.308,0,1.5,0.834862,1
L000164,大阪,事業資金,400,420564,0.833,4,1.0,0.873086,1
L000165,名古屋,住宅ローン,521,7298428,0.564,4,1.0,0.58847,1
L000166,札幌,カードローン,308,40690422,0.256,4,5.0,0.9999,1
L000167,大阪,住宅ローン,570,31512185,0.14,1,1.0,0.447354,0
L000168,福岡,事業資金,601,38329075,0.606,3,5.0,0.887611,0
L000169,福岡,住宅ローン,304,36947377,0.15,3,1.5,0.961066,1
L000170,東京,カードローン,300,37225354,0.321,2,2.0,0.969174,0
L000171,東京,カードローン,719,38591738,0.44,3,1.0,0.120547,0
L000172,東京,住宅ローン,838,43055680,0.565,0,3.0,0.059127,0
L000173,福岡,マイカーローン,328,47597508,0.726,1,2.0,0.983231,1
L000174,福岡,マイカーローン,582,44558076,0.445,4,2.0,0.62856,0
L000175,名古屋,カードローン,818,7547951,0.742,1,5.0,0.168924,0
L000176,東京,事業資金,374,42790170,0.947,4,2.0,0.998924,1
L000177,札幌,マイカーローン,773,41926050,0.613,1,3.0,0.169707,0
L000178,札幌,カードローン,672,32222680,0.188,1,5.0,0.633588,0
L000179,大阪,事業資金,523,2122734,0.905,4,3.0,0.911505,0
L000180,大阪,カードローン,694,27276096,0.75,2,7.0,0.656583,0
L000181,名古屋,カードローン,555,29422943,0.448,0,3.0,0.896731,0
L000182,福岡,カードローン,564,29406127,0.246,3,1.5,0.586261,1
L000183,札幌,住宅ローン,662,8066353,0.746,0,2.0,0.330297,0
L000184,東京,カードローン,667,43548959,0.588,2,1.5,0.251737,0
L000185,札幌,マイカーローン,520,6538614,0.339,4,1.0,0.580797,1
L000186,東京,事業資金,512,3963160,0.669,4,5.0,0.985903,0
L000187,札幌,事業資金,442,22005879,0.498,4,1.5,0.910917,1
L000188,大阪,住宅ローン,622,30162609,0.294,2,2.0,0.499898,0
L000189,大阪,住宅ローン,333,31696021,0.605,1,7.0,0.996403,1
L000190,名古屋,住宅ローン,738,3621524,0.595,4,2.0,0.167801,0
L000191,名古屋,カードローン,774,8796282,0.776,3,2.0,0.107687,0
L000192,東京,マイカーローン,528,4836214,0.347,4,7.0,0.981246,0
L000193,東京,事業資金,382,46741033,0.768,0,5.0,0.9999,1
L000194,名古屋,住宅ローン,492,2752526,0.441,0,5.0,0.9999,1
L000195,名古屋,住宅ローン,729,18083029,0.752,3,2.0,0.203253,1
L000196,東京,事業資金,588,24222283,0.659,1,1.5,0.497798,1
L000197,福岡,カードローン,538,14953210,0.512,3,1.0,0.544741,0
L000198,名古屋,マイカーローン,781,12449209,0.887,4,1.0,0.048385,0
L000199,大阪,住宅ローン,304,34585488,0.679,0,1.0,0.948844,1
L000200,名古屋,住宅ローン,509,32458021,0.73,4,1.5,0.761293,0
L000201,福岡,マイカーローン,479,23464239,0.798,0,5.0,0.9999,1
L000202,名古屋,マイカーローン,493,13593950,0.67,3,1.5,0.797602,1
L000203,名古屋,事業資金,849,17795774,0.668,1,2.0,0.018521,0
L000204,札幌,カードローン,355,43897924,0.375,4,2.0,0.983796,1
L000205,大阪,カードローン,808,16096922,0.268,1,2.0,0.09336,1
L000206,東京,カードローン,329,48056211,0.231,2,1.0,0.934522,1
L000207,大阪,カードローン,611,21479247,0.895,2,1.5,0.438909,0
L000208,東京,住宅ローン,651,39622230,0.34,4,5.0,0.707417,1
L000209,名古屋,カードローン,797,2896970,0.34,3,7.0,0.284457,0
L000210,東京,カードローン,744,49571329,0.159,4,2.0,0.163029,0
L000211,東京,カードローン,546,27209846,0.806,3,2.0,0.798662,1
L000212,東京,マイカーローン,636,10905113,0.781,3,2.0,0.454333,0
L000213,札幌,マイカーローン,329,27653404,0.484,1,2.0,0.975683,1
L000214,大阪,カードローン,689,43302892,0.409,4,3.0,0.38462,1
L000215,東京,カードローン,345,21199641,0.75,1,3.0,0.9999,1
L000216,東京,カードローン,536,9993503,0.525,0,2.0,0.764736,0
L000217,東京,カードローン,472,10591384,0.867,2,1.0,0.753381,1
L000218,東京,カードローン,718,44449888,0.738,2,3.0,0.291246,0
L000219,東京,住宅ローン,302,14147559,0.149,2,2.0,0.9877,1
L000220,名古屋,事業資金,612,40684699,0.657,3,7.0,0.916704,0
L000221,東京,マイカーローン,490,33487669,0.691,4,2.0,0.892939,1
L000222,東京,住宅ローン,338,11404058,0.452,0,0.5,0.742677,1
L000223,名古屋,住宅ローン,707,852587,0.276,0,3.0,0.313411,0
L000224,東京,住宅ローン,389,33286590,0.32,3,7.0,0.993703,1
L000225,福岡,住宅ローン,565,5700576,0.597,4,2.0,0.722881,1
L000226,東京,マイカーローン,349,45068587,0.849,2,7.0,0.986079,1
L000227,名古屋,住宅ローン,436,49283579,0.138,0,1.0,0.804817,1
L000228,福岡,住宅ローン,328,41109343,0.468,2,1.5,0.996984,1
L000229,大阪,マイカーローン,608,20137150,0.848,1,2.0,0.569563,0
L000230,福岡,カードローン,499,36351449,0.671,0,2.0,0.875473,1
L000231,東京,カードローン,494,37186976,0.301,3,5.0,0.998507,0
L000232,福岡,事業資金,470,27156964,0.798,2,7.0,0.982621,1
L000233,福岡,マイカーローン,515,37797341,0.842,0,2.0,0.848684,0
L000234,東京,カードローン,313,21082340,0.398,1,3.0,0.9999,1
L000235,福岡,住宅ローン,435,3851146,0.504,2,3.0,0.996523,1
L000236,名古屋,住宅ローン,494,1142288,0.691,3,5.0,0.990311,1
L000237,東京,カードローン,518,4550874,0.448,4,1.0,0.60162,0
L000238,東京,事業資金,496,8765047,0.528,4,3.0,0.936401,0
L000239,福岡,カードローン,649,10964777,0.55,2,5.0,0.734509,0
L000240,東京,カードローン,676,23097992,0.43,1,5.0,0.588208,0
L000241,大阪,マイカーローン,444,30911555,0.561,1,5.0,0.982857,1
L000242,大阪,カードローン,328,17841640,0.849,0,7.0,0.975792,1
L000243,福岡,事業資金,418,45983237,0.882,1,0.5,0.587424,1
L000244,東京,住宅ローン,455,31014308,0.906,4,1.0,0.768101,1
L000245,大阪,住宅ローン,676,14981793,0.308,0,1.0,0.18837,0
L000246,大阪,カードローン,801,19877066,0.939,0,3.0,0.144996,0
L000247,大阪,カードローン,593,8033259,0.707,4,2.0,0.62221,0
L000248,札幌,住宅ローン,479,10666717,0.891,1,1.0,0.709428,1
L000249,札幌,事業資金,602,29817234,0.796,1,1.5,0.455958,0
L000250,東京,マイカーローン,802,26932510,0.207,4,2.0,0.074693,0
L000251,札幌,カードローン,720,41244343,0.177,3,2.0,0.200171,0
L000252,札幌,住宅ローン,493,6914613,0.47,3,5.0,0.9999,1
L000253,名古屋,住宅ローン,548,44161788,0.313,4,2.0,0.75382,1
L000254,東京,住宅ローン,612,40147691,0.909,4,5.0,0.858766,0
L000255,福岡,住宅ローン,342,23682688,0.215,2,2.0,0.973269,0
L000256,大阪,マイカーローン,503,40432833,0.804,4,2.0,0.867074,1
L000257,福岡,住宅ローン,551,10892575,0.659,2,5.0,0.959294,0
L000258,名古屋,住宅ローン,748,3794089,0.89,1,1.0,0.070378,0
L000259,東京,住宅ローン,523,49083067,0.901,0,5.0,0.988036,1
L000260,大阪,カードローン,684,24626476,0.436,4,3.0,0.404127,1
L000261,福岡,事業資金,613,30717369,0.655,2,7.0,0.931252,0
L000262,大阪,住宅ローン,768,8988717,0.469,3,1.5,0.088624,0
L000263,大阪,住宅ローン,471,7739773,0.775,0,1.5,0.867796,1
L000264,福岡,カードローン,303,31786650,0.538,3,2.0,0.994627,1
L000265,大阪,カードローン,445,10635487,0.369,1,1.0,0.771837,0
L000266,東京,住宅ローン,407,47343382,0.516,0,0.5,0.632856,1
L000267,福岡,カードローン,604,44709288,0.217,1,2.0,0.546444,1
L000268,大阪,事業資金,540,3675254,0.377,1,5.0,0.999054,0
L000269,東京,事業資金,841,25784249,0.174,2,5.0,0.104302,0
L000270,名古屋,住宅ローン,666,38569882,0.121,3,1.5,0.257522,1
L000271,名古屋,カードローン,733,13376632,0.485,3,7.0,0.498858,0
L000272,名古屋,住宅ローン,640,4820948,0.075,3,1.0,0.253977,0
L000273,大阪,事業資金,442,27805122,0.165,4,1.0,0.792762,1
L000274,大阪,住宅ローン,783,23747004,0.374,2,3.0,0.151883,0
L000275,札幌,マイカーローン,651,1274356,0.636,2,1.0,0.239441,0
L000276,大阪,住宅ローン,733,1391621,0.493,2,7.0,0.511467,0
L000277,名古屋,カードローン,398,36392953,0.842,4,1.5,0.93309,1
L000278,名古屋,事業資金,461,20527452,0.906,1,1.0,0.769683,0
L000279,大阪,カードローン,671,1879616,0.372,0,5.0,0.617943,0
L000280,東京,事業資金,650,33472599,0.486,3,2.0,0.403042,0
L000281,名古屋,カードローン,522,5817558,0.583,2,7.0,0.9999,1
L000282,名古屋,住宅ローン,728,13639934,0.734,0,2.0,0.184121,0
L000283,東京,マイカーローン,455,2280078,0.384,2,0.5,0.504626,1
L000284,東京,カードローン,810,16100983,0.143,1,1.0,0.031491,0
L000285,大阪,事業資金,686,32659461,0.196,2,1.0,0.139795,0
L000286,東京,事業資金,821,41563296,0.826,1,1.0,0.041088,0
L000287,名古屋,住宅ローン,352,17842688,0.22,1,1.5,0.971559,1
L000288,大阪,住宅ローン,379,12691834,0.089,0,1.0,0.87026,1
L000289,東京,住宅ローン,355,17317874,0.785,4,5.0,0.990048,1
L000290,札幌,住宅ローン,611,6206933,0.447,1,3.0,0.673243,0
L000291,札幌,事業資金,812,17664208,0.543,1,2.0,0.080477,0
L000292,大阪,マイカーローン,700,42495675,0.334,1,5.0,0.5193,0
L000293,福岡,マイカーローン,544,48578366,0.935,4,3.0,0.891884,1
L000294,大阪,マイカーローン,497,13093919,0.244,0,3.0,0.968434,1
L000295,札幌,カードローン,315,47584745,0.818,2,3.0,0.9999,1
L000296,大阪,カードローン,720,9443948,0.656,3,2.0,0.215533,0
L000297,大阪,マイカーローン,388,42895479,0.646,0,1.5,0.945581,1
L000298,名古屋,住宅ローン,836,18470589,0.661,1,5.0,0.151726,0
L000299,東京,マイカーローン,848,32153205,0.707,0,2.0,0.023611,0
L000300,東京,住宅ローン,677,9994008,0.696,4,2.0,0.29255,0
L000301,大阪,カードローン,451,11221265,0.228,4,1.5,0.904527,1
L000302,大阪,事業資金,813,32441521,0.815,0,3.0,0.10605,0
L000303,大阪,カードローン,422,2909018,0.895,1,2.0,0.968088,1
L000304,大阪,事業資金,750,49457274,0.341,4,2.0,0.161501,0
L000305,名古屋,事業資金,736,724803,0.453,1,2.0,0.194092,0
L000306,東京,事業資金,384,25795975,0.655,3,2.0,0.983863,1
L000307,大阪,住宅ローン,692,44829007,0.139,3,2.0,0.281961,0
L000308,東京,住宅ローン,498,41424786,0.51,1,5.0,0.998988,1
L000309,札幌,住宅ローン,800,37224410,0.255,1,1.0,0.019347,0
L000310,大阪,カードローン,530,36336602,0.311,4,3.0,0.918136,1
L000311,名古屋,マイカーローン,700,43492309,0.542,2,1.5,0.206892,0
L000312,福岡,事業資金,405,17867163,0.682,0,7.0,0.992823,1
L000313,札幌,カードローン,306,46040376,0.381,4,2.0,0.9999,0
L000314,福岡,住宅ローン,670,37736411,0.481,4,2.0,0.334054,0
L000315,名古屋,マイカーローン,452,40214714,0.494,1,7.0,0.9999,1
L000316,札幌,カードローン,828,3334893,0.889,2,0.5,0.016144,0
L000317,名古屋,事業資金,410,3422455,0.756,1,7.0,0.9999,1
L000318,名古屋,カードローン,362,40169279,0.504,1,7.0,0.9999,0
L000319,名古屋,事業資金,343,47145910,0.849,3,3.0,0.978655,1
L000320,福岡,マイカーローン,793,46853200,0.908,2,3.0,0.122873,0
L000321,福岡,住宅ローン,478,3010527,0.125,4,2.0,0.932126,1
L000322,名古屋,マイカーローン,502,14177279,0.796,2,1.0,0.646891,1
L000323,東京,カードローン,519,42409259,0.159,1,1.0,0.58879,0
L000324,大阪,住宅ローン,545,37942080,0.101,2,3.0,0.890945,0
L000325,東京,マイカーローン,721,24215091,0.631,0,7.0,0.569555,0
L000326,大阪,カードローン,568,18069254,0.336,1,2.0,0.661825,0
L000327,福岡,カードローン,431,566238,0.944,4,0.5,0.571167,1
L000328,大阪,カードローン,796,39162700,0.535,4,5.0,0.196457,0
L000329,東京,マイカーローン,532,5324553,0.798,3,5.0,0.968156,0
L000330,東京,カードローン,696,19076304,0.123,3,2.0,0.287162,0
L000331,大阪,カードローン,589,48753437,0.657,2,3.0,0.757755,0
L000332,名古屋,マイカーローン,343,12020322,0.469,3,1.0,0.945902,1
L000333,札幌,カードローン,532,1802191,0.726,4,1.0,0.537223,0
L000334,東京,マイカーローン,523,44698333,0.127,3,3.0,0.906133,1
L000335,東京,住宅ローン,808,23523581,0.353,4,2.0,0.04175,0
L000336,名古屋,事業資金,764,23304679,0.619,2,3.0,0.194775,0
L000337,東京,事業資金,733,27187238,0.188,4,2.0,0.210254,1
L000338,東京,カードローン,668,16569366,0.68,1,7.0,0.778542,0
L000339,東京,住宅ローン,505,940521,0.843,0,5.0,0.98844,1
L000340,名古屋,住宅ローン,513,23369160,0.829,0,5.0,0.981748,1
L000341,東京,カードローン,562,35210869,0.156,4,1.5,0.608261,0
L000342,札幌,カードローン,792,5972561,0.669,2,7.0,0.286897,0
L000343,東京,住宅ローン,840,47355405,0.92,3,5.0,0.09902,0
L000344,名古屋,マイカーローン,650,22749266,0.812,3,1.0,0.24739,0
L000345,大阪,マイカーローン,305,29762752,0.219,0,1.0,0.953622,1
L000346,東京,住宅ローン,377,14374574,0.591,0,1.0,0.910519,1
L000347,大阪,住宅ローン,849,38156729,0.475,2,2.0,0.076208,0
L000348,東京,マイカーローン,489,30472217,0.898,3,1.5,0.846432,1
L000349,福岡,住宅ローン,765,42624955,0.35,1,1.0,0.048606,0
L000350,東京,カードローン,617,28287390,0.299,4,2.0,0.498355,0
L000351,名古屋,カードローン,706,6851065,0.22,3,1.5,0.156837,0
L000352,大阪,住宅ローン,583,33153681,0.429,1,2.0,0.656109,0
L000353,東京,住宅ローン,487,34270285,0.633,1,5.0,0.972865,1
L000354,大阪,住宅ローン,655,6540437,0.481,2,2.0,0.386716,1
L000355,大阪,住宅ローン,446,18547542,0.13,4,0.5,0.5263,1
L000356,名古屋,事業資金,505,44717463,0.803,0,5.0,0.994238,1
L000357,東京,住宅ローン,619,33382370,0.213,4,2.0,0.494335,1
L000358,札幌,住宅ローン,536,23148425,0.157,1,1.5,0.681415,0
L000359,福岡,マイカーローン,530,33357779,0.3,0,7.0,0.9999,1
L000360,東京,住宅ローン,828,40488467,0.946,0,3.0,0.091894,0
L000361,大阪,カードローン,830,15035090,0.642,3,2.0,0.055272,0
L000362,東京,事業資金,603,31212852,0.57,4,2.0,0.575292,0
L000363,福岡,事業資金,586,1791153,0.259,0,1.0,0.370867,1
L000364,大阪,カードローン,817,32053705,0.642,3,1.5,0.05667,0
L000365,大阪,事業資金,847,33806639,0.679,0,3.0,0.056796,0
L000366,福岡,マイカーローン,737,25999810,0.638,1,1.0,0.088509,0
L000367,福岡,住宅ローン,466,31230337,0.349,2,2.0,0.936116,1
L000368,東京,事業資金,511,21058232,0.196,1,3.0,0.959047,0
L000369,東京,カードローン,559,6444781,0.071,0,3.0,0.840959,1
L000370,福岡,マイカーローン,591,28664213,0.368,3,3.0,0.753136,1
L000371,福岡,住宅ローン,849,21572404,0.907,0,1.5,0.010094,0
L000372,東京,カードローン,754,6015805,0.533,4,2.0,0.139458,0
L000373,東京,事業資金,607,24909876,0.291,0,1.0,0.346325,1
L000374,大阪,住宅ローン,825,29366492,0.418,1,3.0,0.122787,0
L000375,福岡,マイカーローン,643,49272797,0.052,3,1.5,0.33613,0
L000376,大阪,住宅ローン,631,18977167,0.647,0,2.0,0.442724,1
L000377,大阪,住宅ローン,448,40990998,0.3,0,5.0,0.9999,0
